Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000212,CAL120,Breast Cancer,Metastasis
ACH-001392,SUM185PE,Breast Cancer,Metastasis
ACH-000699,HCC1395,Breast Cancer,Primary
ACH-000111,HCC1187,Breast Cancer,Primary
ACH-001388,SUM102PT,Breast Cancer,Primary
ACH-000668,HCC70,Breast Cancer,Primary
ACH-000856,CAL51,Breast Cancer,Metastasis
ACH-000857,CAL851,Breast Cancer,Primary
ACH-001391,SUM159PT,Breast Cancer,Primary
ACH-000288,BT549,Breast Cancer,Primary
ACH-000223,HCC1937,Breast Cancer,Primary
ACH-000536,BT20,Breast Cancer,Primary
ACH-000691,HCC2157,Breast Cancer,Primary
ACH-000849,MDAMB468,Breast Cancer,Metastasis
ACH-000148,HS578T,Breast Cancer,Primary
ACH-000374,HCC1143,Breast Cancer,Primary
ACH-000624,HCC1806,Breast Cancer,Primary
ACH-000621,MDAMB157,Breast Cancer,Metastasis
ACH-000276,HCC38,Breast Cancer,Primary
ACH-001390,SUM149PT,Breast Cancer,Primary
ACH-000258,DU4475,Breast Cancer,Metastasis
ACH-001394,SUM229PE,Breast Cancer,Metastasis
ACH-000573,MDAMB436,Breast Cancer,Metastasis
ACH-000910,MDAMB453,Breast Cancer,Metastasis
ACH-000930,HCC1569,Breast Cancer,Primary
ACH-001389,SUM1315MO2,Breast Cancer,Metastasis
ACH-000643,HDQP1,Breast Cancer,Primary
ACH-000902,CAL148,Breast Cancer,Metastasis
ACH-000768,MDAMB231,Breast Cancer,Metastasis
