Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-002067,NOS1,Bone Cancer,Primary
ACH-001205,TC32,Bone Cancer,
ACH-000359,MG63,Bone Cancer,Primary
ACH-001008,A673STAG2KO45,Engineered,
ACH-000210,CADOES1,Bone Cancer,Metastasis
ACH-001035,CHLA99,Bone Cancer,
ACH-001010,A673STAG2NT23,Engineered,
ACH-000279,EWS502,Bone Cancer,
ACH-001029,CHLA10,Bone Cancer,
ACH-000039,SKNMC,Bone Cancer,Metastasis
ACH-000424,TC71,Bone Cancer,Primary
ACH-000516,CAL78,Bone Cancer,
ACH-001001,143B,Bone Cancer,Primary
ACH-001519,HEMCSS,Bone Cancer,Primary
ACH-001030,CHLA218,Bone Cancer,
ACH-001431,TC205,Bone Cancer,
ACH-001430,TC138,Bone Cancer,
ACH-001150,OUMS27,Bone Cancer,Primary
ACH-000391,MHHES1,Bone Cancer,Metastasis
ACH-000082,G292CLONEA141B1,Bone Cancer,Primary
ACH-001282,CHLA258,Bone Cancer,
ACH-002204,UCH2,Bone Cancer,
ACH-000052,A673,Bone Cancer,Primary
ACH-001034,CHLA9,Bone Cancer,
ACH-001526,HUO9,Bone Cancer,Primary
ACH-000499,EW8,Bone Cancer,
ACH-001038,COGE352,Bone Cancer,
ACH-001193,SKPNDW,Bone Cancer,
ACH-001022,CBAGPN,Bone Cancer,
ACH-001192,SKNEP1,Bone Cancer,Metastasis
ACH-001032,CHLA32,Bone Cancer,
ACH-001009,A673STAG2NT14,Engineered,
ACH-001818,C396,Bone Cancer,Metastasis
ACH-001956,MUGCHOR1,Bone Cancer,
ACH-001283,TC106,Bone Cancer,Metastasis
ACH-001007,A673STAG2KO16,Engineered,
ACH-002335,UCH1,Bone Cancer,
ACH-001957,UMCHOR1,Bone Cancer,
ACH-001814,OS252,Bone Cancer,Primary
ACH-000748,SJSA1,Bone Cancer,Primary
ACH-000418,SW1353,Bone Cancer,Primary
ACH-000041,RDES,Bone Cancer,Primary
ACH-001033,CHLA57,Bone Cancer,
ACH-000613,HOS,Bone Cancer,Primary
ACH-000364,U2OS,Bone Cancer,Primary
ACH-000087,SKES1,Bone Cancer,Primary
ACH-001715,CAL72,Bone Cancer,
ACH-000410,SAOS2,Bone Cancer,Primary
