Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000991,SNU81,Colon/Colorectal Cancer,
ACH-000969,KM12,Colon/Colorectal Cancer,Primary
ACH-000236,SW1417,Colon/Colorectal Cancer,Primary
ACH-001399,SW626,Colon/Colorectal Cancer,Metastasis
ACH-000999,SNU1040,Colon/Colorectal Cancer,
ACH-000963,CCK81,Colon/Colorectal Cancer,Metastasis
ACH-001460,C84,Colon/Colorectal Cancer,Primary
ACH-000982,GP2D,Colon/Colorectal Cancer,Primary
ACH-000722,SNUC1,Colon/Colorectal Cancer,Metastasis
ACH-000296,OUMS23,Colon/Colorectal Cancer,Metastasis
ACH-001461,C99,Colon/Colorectal Cancer,Primary
ACH-001081,HCC2998,Colon/Colorectal Cancer,
ACH-000971,HCT116,Colon/Colorectal Cancer,Primary
ACH-000360,NCIH508,Colon/Colorectal Cancer,Metastasis
ACH-000489,SW1116,Colon/Colorectal Cancer,Primary
ACH-000708,SNU283,Colon/Colorectal Cancer,Metastasis
ACH-000950,LOVO,Colon/Colorectal Cancer,Metastasis
ACH-000955,SNU407,Colon/Colorectal Cancer,Metastasis
ACH-000421,SW837,Colon/Colorectal Cancer,Primary
ACH-000470,SW1463,Colon/Colorectal Cancer,Primary
ACH-000986,HT115,Colon/Colorectal Cancer,
ACH-001199,SNUC2B,Colon/Colorectal Cancer,
ACH-000683,SNU503,Colon/Colorectal Cancer,Metastasis
ACH-000412,SNU1197,Colon/Colorectal Cancer,Primary
ACH-000202,COLO320,Colon/Colorectal Cancer,Primary
ACH-001061,DLD1,Colon/Colorectal Cancer,Primary
ACH-000926,HT55,Colon/Colorectal Cancer,Primary
ACH-000286,SNU1033,Colon/Colorectal Cancer,Primary
ACH-000985,LS411N,Colon/Colorectal Cancer,Primary
ACH-001459,C80,Colon/Colorectal Cancer,Primary
ACH-000970,SNUC5,Colon/Colorectal Cancer,
ACH-001084,HCT8,Colon/Colorectal Cancer,
ACH-000003,CACO2,Colon/Colorectal Cancer,
ACH-000565,RCM1,Colon/Colorectal Cancer,Primary
ACH-000651,SW620,Colon/Colorectal Cancer,Metastasis
ACH-000895,CL34,Colon/Colorectal Cancer,Primary
ACH-001454,C10,Colon/Colorectal Cancer,Primary
ACH-002345,CAR1,Colon/Colorectal Cancer,Metastasis
ACH-000680,SW948,Colon/Colorectal Cancer,Primary
ACH-001345,GP5D,Colon/Colorectal Cancer,Primary
ACH-000820,SW403,Colon/Colorectal Cancer,Primary
ACH-000467,HCC56,Colon/Colorectal Cancer,
ACH-001091,HRT18,Colon/Colorectal Cancer,
ACH-000249,CL11,Colon/Colorectal Cancer,Primary
ACH-000552,HT29,Colon/Colorectal Cancer,Primary
ACH-000491,NCIH716,Colon/Colorectal Cancer,Metastasis
ACH-000798,CL40,Colon/Colorectal Cancer,Primary
ACH-000958,SW48,Colon/Colorectal Cancer,Primary
ACH-000403,NCIH747,Colon/Colorectal Cancer,Metastasis
ACH-000009,C2BBE1,Colon/Colorectal Cancer,Primary
ACH-000959,SNUC4,Colon/Colorectal Cancer,
ACH-000532,SNU61,Colon/Colorectal Cancer,Metastasis
ACH-000989,SNU175,Colon/Colorectal Cancer,Metastasis
ACH-000252,LS1034,Colon/Colorectal Cancer,Primary
ACH-000501,LS123,Colon/Colorectal Cancer,Primary
ACH-001039,COLO205,Colon/Colorectal Cancer,Metastasis
ACH-000342,CL14,Colon/Colorectal Cancer,
ACH-000957,LS180,Colon/Colorectal Cancer,Primary
ACH-001458,C75,Colon/Colorectal Cancer,Primary
ACH-000400,SKCO1,Colon/Colorectal Cancer,Metastasis
ACH-000350,COLO678,Colon/Colorectal Cancer,Metastasis
ACH-000997,HCT15,Colon/Colorectal Cancer,Primary
ACH-000842,SW480,Colon/Colorectal Cancer,Primary
ACH-000943,RKO,Colon/Colorectal Cancer,Primary
ACH-000967,SNUC2A,Colon/Colorectal Cancer,Primary
ACH-000935,MDST8,Colon/Colorectal Cancer,
ACH-000253,COLO201,Colon/Colorectal Cancer,Metastasis
ACH-000007,LS513,Colon/Colorectal Cancer,Primary
ACH-000998,CW2,Colon/Colorectal Cancer,Primary
ACH-000381,T84,Colon/Colorectal Cancer,Metastasis
ACH-000089,NCIH684,Colon/Colorectal Cancer,Metastasis
ACH-001456,C125PM,Colon/Colorectal Cancer,Primary
ACH-001546,LIM1215,Colon/Colorectal Cancer,Metastasis
