Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000824,KYSE510,Esophageal Cancer,Primary
ACH-000544,OE21,Esophageal Cancer,Primary
ACH-000865,KYSE450,Esophageal Cancer,Primary
ACH-001654,SKGT4,Esophageal Cancer,Primary
ACH-001544,KYAE1,Esophageal Cancer,Metastasis
ACH-000694,TE9,Esophageal Cancer,Metastasis
ACH-001500,FLO1,Esophageal Cancer,Primary
ACH-000873,KYSE270,Esophageal Cancer,Primary
ACH-000452,TE8,Esophageal Cancer,
ACH-000383,OE33,Esophageal Cancer,Primary
ACH-000717,COLO680N,Esophageal Cancer,
ACH-000784,KYSE70,Esophageal Cancer,Primary
ACH-000216,JHESOAD1,Esophageal Cancer,
ACH-000823,KYSE140,Esophageal Cancer,Primary
ACH-000353,TE15,Esophageal Cancer,Primary
ACH-000917,TE4,Esophageal Cancer,
ACH-000726,TE14,Esophageal Cancer,
ACH-000679,OE19,Esophageal Cancer,Primary
ACH-001497,ESO51,Esophageal Cancer,Primary
ACH-000809,KYSE410,Esophageal Cancer,Primary
ACH-000561,TDOTT,Esophageal Cancer,Metastasis
ACH-000318,TE10,Esophageal Cancer,Primary
ACH-000408,TE5,Esophageal Cancer,
ACH-000647,TE1,Esophageal Cancer,Primary
ACH-000777,KYSE30,Esophageal Cancer,Primary
ACH-000488,TE11,Esophageal Cancer,Primary
ACH-000305,ECGI10,Esophageal Cancer,
ACH-000693,KYSE180,Esophageal Cancer,Primary
ACH-001496,ESO26,Esophageal Cancer,Primary
ACH-001368,OACM51,Esophageal Cancer,Metastasis
ACH-000605,TE6,Esophageal Cancer,
ACH-000855,KYSE150,Esophageal Cancer,Primary
ACH-000637,KYSE520,Esophageal Cancer,Primary
