Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000919,IM95,Gastric Cancer,Primary
ACH-002306,STS0421,Gastric Cancer,
ACH-000255,LMSU,Gastric Cancer,Metastasis
ACH-001664,SNU638,Gastric Cancer,Metastasis
ACH-000908,SNU520,Gastric Cancer,Primary
ACH-000247,OCUM1,Gastric Cancer,Metastasis
ACH-000911,NUGC3,Gastric Cancer,Metastasis
ACH-000678,MKN7,Gastric Cancer,Metastasis
ACH-000356,MKN45,Gastric Cancer,Metastasis
ACH-000793,KATOIII,Gastric Cancer,Metastasis
ACH-000560,ECC10,Gastric Cancer,
ACH-000746,GSS,Gastric Cancer,Metastasis
ACH-000351,MKN1,Gastric Cancer,Metastasis
ACH-000674,NUGC4,Gastric Cancer,Metastasis
ACH-002202,TMK1,Gastric Cancer,Metastasis
ACH-000880,AGS,Gastric Cancer,Primary
ACH-000616,HS746T,Gastric Cancer,Metastasis
ACH-000633,FU97,Gastric Cancer,Primary
ACH-001653,SKGT2,Gastric Cancer,Primary
ACH-000466,SNU216,Gastric Cancer,Metastasis
ACH-000932,SNU1,Gastric Cancer,Metastasis
ACH-000144,RERFGC1B,Gastric Cancer,Metastasis
ACH-000325,SNU620,Gastric Cancer,Metastasis
ACH-000485,GSU,Gastric Cancer,Metastasis
ACH-000847,HGC27,Gastric Cancer,Metastasis
ACH-000303,SNU5,Gastric Cancer,Metastasis
ACH-000581,SNU16,Gastric Cancer,Metastasis
ACH-002141,HSC39,Gastric Cancer,Metastasis
ACH-000239,HUG1N,Gastric Cancer,Metastasis
ACH-000761,NUGC2,Gastric Cancer,Metastasis
ACH-000344,SNU668,Gastric Cancer,Metastasis
ACH-000764,SH10TC,Gastric Cancer,Primary
ACH-000758,MKN74,Gastric Cancer,Metastasis
ACH-000167,KE97,Gastric Cancer,Metastasis
ACH-001015,AZ521,Gastric Cancer,
ACH-000110,NCCSTCK140,Gastric Cancer,
ACH-002198,SCH,Gastric Cancer,Metastasis
ACH-002446,CCLFUPGI0005T,Gastric Cancer,Metastasis
ACH-000047,GCIY,Gastric Cancer,Metastasis
ACH-000225,ECC12,Gastric Cancer,
ACH-002161,MKN28,Gastric Cancer,Metastasis
ACH-001017,BGC823,Gastric Cancer,
ACH-000427,NCIN87,Gastric Cancer,Metastasis
ACH-000949,TGBC11TKB,Gastric Cancer,Metastasis
ACH-000538,HUTU80,Gastric Cancer,Primary
ACH-000898,SNU719,Gastric Cancer,Primary
ACH-000948,2313287,Gastric Cancer,Primary
ACH-000507,KE39,Gastric Cancer,Metastasis
ACH-000736,SNU601,Gastric Cancer,Metastasis
