Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000464,CAS1,Brain Cancer,Primary
ACH-000673,LN443,Brain Cancer,
ACH-000623,SNU201,Brain Cancer,Primary
ACH-000595,LN229,Brain Cancer,Primary
ACH-000283,A1207,Brain Cancer,
ACH-000200,NMCG1,Brain Cancer,Primary
ACH-000634,LN340,Brain Cancer,
ACH-000231,KALS1,Brain Cancer,Primary
ACH-000676,LN464,Brain Cancer,
ACH-001329,ANGMCSS,Brain Cancer,Primary
ACH-000738,GB1,Brain Cancer,Primary
ACH-000036,U343,Brain Cancer,
ACH-000622,KNS42,Brain Cancer,Primary
ACH-001608,NP2,Brain Cancer,Primary
ACH-001624,ONDA9,Brain Cancer,Primary
ACH-000269,AM38,Brain Cancer,Primary
ACH-000376,SF295,Brain Cancer,Primary
ACH-001609,NP3,Brain Cancer,Primary
ACH-000208,U178,Brain Cancer,
ACH-000027,GOS3,Brain Cancer,Primary
ACH-000098,GAMG,Brain Cancer,Primary
ACH-000244,DKMG,Brain Cancer,Primary
ACH-000819,LN18,Brain Cancer,Primary
ACH-000570,YKG1,Brain Cancer,Primary
ACH-000863,DBTRG05MG,Brain Cancer,Primary
ACH-001198,SNB19,Brain Cancer,Primary
ACH-000455,LN428,Brain Cancer,
ACH-001610,NP5,Brain Cancer,Primary
ACH-000571,T98G,Brain Cancer,Primary
ACH-000887,SF172,Brain Cancer,
ACH-001622,ONDA7,Brain Cancer,Primary
ACH-000479,KNS81,Brain Cancer,Primary
ACH-001611,NP8,Brain Cancer,Primary
ACH-000152,M059K,Brain Cancer,Primary
ACH-000102,GMS10,Brain Cancer,Primary
ACH-000760,LNZ308,Brain Cancer,
ACH-000368,SNU1105,Brain Cancer,Primary
ACH-001605,NO10,Brain Cancer,Primary
ACH-000215,LN382,Brain Cancer,
ACH-000328,LN215,Brain Cancer,
ACH-000445,KNS60,Brain Cancer,Primary
ACH-000469,YH13,Brain Cancer,Primary
ACH-001606,NO11,Brain Cancer,Primary
ACH-000558,A172,Brain Cancer,Primary
