Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000273,SF539,Brain Cancer,Primary
ACH-000437,SW1088,Brain Cancer,Primary
ACH-000592,TM31,Brain Cancer,
ACH-000464,CAS1,Brain Cancer,Primary
ACH-000329,CCFSTTG1,Brain Cancer,Primary
ACH-000673,LN443,Brain Cancer,
ACH-000623,SNU201,Brain Cancer,Primary
ACH-000655,SF268,Brain Cancer,Primary
ACH-000591,LN235,Brain Cancer,
ACH-000595,LN229,Brain Cancer,Primary
ACH-000283,A1207,Brain Cancer,
ACH-000200,NMCG1,Brain Cancer,Primary
ACH-000634,LN340,Brain Cancer,
ACH-001000,1321N1,Brain Cancer,
ACH-000232,U251MG,Brain Cancer,Primary
ACH-000543,SNU489,Brain Cancer,
ACH-000370,SNU626,Brain Cancer,
ACH-000231,KALS1,Brain Cancer,Primary
ACH-000676,LN464,Brain Cancer,
ACH-000883,SW1783,Brain Cancer,Primary
ACH-001329,ANGMCSS,Brain Cancer,Primary
ACH-000738,GB1,Brain Cancer,Primary
ACH-000036,U343,Brain Cancer,
ACH-000289,SNU466,Brain Cancer,
ACH-000622,KNS42,Brain Cancer,Primary
ACH-001608,NP2,Brain Cancer,Primary
ACH-001624,ONDA9,Brain Cancer,Primary
ACH-000269,AM38,Brain Cancer,Primary
ACH-001126,MOGGUVW,Brain Cancer,
ACH-000376,SF295,Brain Cancer,Primary
ACH-000126,KG1C,Brain Cancer,Primary
ACH-000756,GI1,Brain Cancer,Primary
ACH-001125,MOGGCCM,Brain Cancer,
ACH-000609,SF126,Brain Cancer,Primary
ACH-001016,BECKER,Brain Cancer,
ACH-001609,NP3,Brain Cancer,Primary
ACH-000631,KS1,Brain Cancer,Primary
ACH-000208,U178,Brain Cancer,
ACH-000504,SNB75,Brain Cancer,Primary
ACH-000098,GAMG,Brain Cancer,Primary
ACH-000244,DKMG,Brain Cancer,Primary
ACH-000819,LN18,Brain Cancer,Primary
ACH-000137,8MGBA,Brain Cancer,Primary
ACH-000128,LN319,Brain Cancer,
ACH-000389,H4,Brain Cancer,Primary
ACH-000075,U87MG,Brain Cancer,Primary
ACH-000570,YKG1,Brain Cancer,Primary
ACH-000863,DBTRG05MG,Brain Cancer,Primary
ACH-001198,SNB19,Brain Cancer,Primary
ACH-000455,LN428,Brain Cancer,
ACH-001610,NP5,Brain Cancer,Primary
ACH-000571,T98G,Brain Cancer,Primary
ACH-000887,SF172,Brain Cancer,
ACH-000067,HS683,Brain Cancer,Primary
ACH-001214,U138MG,Brain Cancer,
ACH-001622,ONDA7,Brain Cancer,Primary
ACH-000479,KNS81,Brain Cancer,Primary
ACH-001611,NP8,Brain Cancer,Primary
ACH-000152,M059K,Brain Cancer,Primary
ACH-001118,M059J,Brain Cancer,
ACH-000102,GMS10,Brain Cancer,Primary
ACH-000760,LNZ308,Brain Cancer,
ACH-000368,SNU1105,Brain Cancer,Primary
ACH-001605,NO10,Brain Cancer,Primary
ACH-000215,LN382,Brain Cancer,
ACH-000328,LN215,Brain Cancer,
ACH-000445,KNS60,Brain Cancer,Primary
ACH-000323,42MGBA,Brain Cancer,Primary
ACH-000807,SNU738,Brain Cancer,
ACH-000469,YH13,Brain Cancer,Primary
ACH-000040,U118MG,Brain Cancer,Primary
ACH-001606,NO11,Brain Cancer,Primary
ACH-000558,A172,Brain Cancer,Primary
