Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000300,SLR25,Kidney Cancer,Metastasis
ACH-000459,TUHR10TKB,Kidney Cancer,Primary
ACH-000046,ACHN,Kidney Cancer,Metastasis
ACH-000234,CAKI2,Kidney Cancer,Primary
ACH-001163,CCLFPEDS0001T,Kidney Cancer,Metastasis
ACH-000127,SLR20,Kidney Cancer,Primary
ACH-000313,KMRC3,Kidney Cancer,Primary
ACH-000049,HEKTE,Immortalized,
ACH-000262,UOK101,Kidney Cancer,
ACH-000428,UO31,Kidney Cancer,
ACH-001398,SW156,Kidney Cancer,Primary
ACH-000907,SNU349,Kidney Cancer,Primary
ACH-001208,TK10,Kidney Cancer,
ACH-001175,RCC4,Kidney Cancer,
ACH-000649,786O,Kidney Cancer,Primary
ACH-000246,SLR23,Kidney Cancer,Metastasis
ACH-000171,VMRCRCZ,Kidney Cancer,Primary
ACH-000792,BFTC909,Kidney Cancer,Primary
ACH-000189,RCC10RGB,Kidney Cancer,Primary
ACH-001310,HA1E,Immortalized,
ACH-000709,KMRC2,Kidney Cancer,Primary
ACH-001087,HK2,Immortalized,
ACH-000513,SNU1272,Kidney Cancer,
ACH-000484,VMRCRCW,Kidney Cancer,Primary
ACH-000457,CAL54,Kidney Cancer,Metastasis
ACH-000433,CAKI1,Kidney Cancer,Metastasis
ACH-001194,SKRC31,Kidney Cancer,Metastasis
ACH-000317,TUHR14TKB,Kidney Cancer,Primary
ACH-000600,SLR26,Kidney Cancer,Primary
ACH-000411,769P,Kidney Cancer,Primary
ACH-000429,A704,Kidney Cancer,Primary
ACH-000385,SKRC20,Kidney Cancer,
ACH-000250,KMRC20,Kidney Cancer,Primary
ACH-000159,OSRC2,Kidney Cancer,Primary
ACH-000016,SLR21,Kidney Cancer,Metastasis
ACH-000272,SLR24,Kidney Cancer,Primary
ACH-000555,A498,Kidney Cancer,Primary
ACH-000684,KMRC1,Kidney Cancer,Primary
ACH-000495,TUHR4TKB,Kidney Cancer,Primary
