Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001106,KOPN8,Leukemia,Primary
ACH-000166,KASUMI6,Leukemia,Primary
ACH-000602,M07E,Leukemia,
ACH-000146,THP1,Leukemia,Primary
ACH-000557,AML193,Leukemia,Primary
ACH-001036,CMK115,Leukemia,
ACH-000263,KASUMI1,Leukemia,Primary
ACH-000301,LAMA84,Leukemia,Primary
ACH-000964,MOLT3,Leukemia,
ACH-000004,HEL,Leukemia,
ACH-000336,OCIAML3,Leukemia,Primary
ACH-000604,KYO1,Leukemia,
ACH-000072,MEG01,Leukemia,
ACH-000034,PLB985,Leukemia,
ACH-001735,SEMK2,Leukemia,
ACH-000770,P31FUJ,Leukemia,
ACH-000918,MOLT16,Leukemia,
ACH-000130,NALM19,Leukemia,
ACH-000782,SEM,Leukemia,Primary
ACH-000920,CMLT1,Leukemia,
ACH-000551,K562,Leukemia,Metastasis
ACH-002059,P30OHK,Leukemia,Primary
ACH-001618,OCIM2,Leukemia,Primary
ACH-000059,SUPB15,Leukemia,Primary
ACH-000005,HEL9217,Leukemia,
ACH-000519,PEER,Leukemia,
ACH-000462,NALM1,Leukemia,
ACH-000498,KO52,Leukemia,
ACH-000405,MEC1,Leukemia,
ACH-000197,TALL1,Leukemia,Primary
ACH-000942,HPBALL,Leukemia,Primary
ACH-000122,SUPT11,Leukemia,
ACH-001656,SKNO1,Leukemia,Metastasis
ACH-001037,CMK86,Leukemia,
ACH-000020,MHHCALL2,Leukemia,
ACH-000080,BDCM,Leukemia,
ACH-000321,MOLM6,Leukemia,
ACH-000104,LOUCY,Leukemia,
ACH-000218,PL21,Leukemia,
ACH-000074,KU812,Leukemia,
ACH-000960,REH,Leukemia,Primary
ACH-000241,JK1,Leukemia,
ACH-000112,SIGM5,Leukemia,
ACH-001737,HSB2,Leukemia,
ACH-000101,KE37,Leukemia,
ACH-000432,BV173,Leukemia,
ACH-001230,UT7,Leukemia,
ACH-000983,KCL22,Leukemia,
ACH-000938,NALM6,Leukemia,Primary
ACH-000874,RS411,Leukemia,Primary
ACH-001573,MOLM1,Leukemia,Metastasis
ACH-000295,EM2,Leukemia,
ACH-000084,MUTZ3,Leukemia,
ACH-000641,CMK,Leukemia,
ACH-000070,697,Leukemia,Primary
ACH-000362,MOLM13,Leukemia,Primary
ACH-001129,MONOMAC1,Leukemia,Primary
ACH-001452,BONNA12,Leukemia,Metastasis
ACH-000981,DND41,Leukemia,Primary
ACH-000406,U937,Leukemia,Metastasis
ACH-000113,OCIAML2,Leukemia,Primary
ACH-000372,P12ICHIKAWA,Leukemia,
ACH-001127,MOLT4,Leukemia,
ACH-000386,KG1,Leukemia,Primary
ACH-000076,NCO2,Leukemia,
ACH-000032,MHHCALL3,Leukemia,
ACH-000492,MUTZ5,Leukemia,
ACH-001485,CII,Leukemia,Primary
ACH-000636,RPMI8402,Leukemia,
ACH-002058,ATN1,Leukemia,Primary
ACH-000105,ALLSIL,Leukemia,Primary
ACH-000065,OCIAML5,Leukemia,Primary
ACH-001647,SHI1,Leukemia,Metastasis
ACH-000922,RCHACV,Leukemia,
ACH-001520,HG3,Leukemia,Primary
ACH-000002,HL60,Leukemia,Primary
ACH-000294,NB4,Leukemia,Primary
ACH-001484,CI,Leukemia,Primary
ACH-001634,PGA1,Leukemia,Primary
ACH-000937,PF382,Leukemia,
ACH-001639,ROS50,Leukemia,Primary
ACH-000006,MONOMAC6,Leukemia,Primary
ACH-000439,ME1,Leukemia,
ACH-001738,CCRFCEM,Leukemia,
ACH-000198,EOL1,Leukemia,
ACH-000045,MV411,Leukemia,Primary
ACH-000326,JURLMK1,Leukemia,
ACH-000728,KASUMI2,Leukemia,
ACH-000299,HNT34,Leukemia,
ACH-000953,SUPT1,Leukemia,Metastasis
ACH-000751,OCIM1,Leukemia,
ACH-000081,GDM1,Leukemia,
ACH-000156,MHHCALL4,Leukemia,
ACH-000487,F36P,Leukemia,Metastasis
ACH-000151,JM1,Leukemia,
ACH-000795,MOLT13,Leukemia,
ACH-000387,TF1,Leukemia,
ACH-000373,SKM1,Leukemia,Primary
ACH-001736,HB1119,Leukemia,
ACH-000369,MOLM16,Leukemia,
ACH-000195,SET2,Leukemia,
ACH-000168,NOMO1,Leukemia,Primary
ACH-000995,JURKAT,Leukemia,Primary
