Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000625,HEP3B217,Liver Cancer,Primary
ACH-000537,SNU761,Liver Cancer,
ACH-000471,LI7,Liver Cancer,
ACH-001021,C3A,Liver Cancer,
ACH-001318,PLCPRF5,Liver Cancer,Primary
ACH-000480,HUH7,Liver Cancer,Primary
ACH-000620,JHH1,Liver Cancer,Primary
ACH-001089,HLE,Liver Cancer,
ACH-000848,JHH7,Liver Cancer,Primary
ACH-000476,JHH4,Liver Cancer,Primary
ACH-000478,SNU387,Liver Cancer,Primary
ACH-000739,HEPG2,Liver Cancer,Primary
ACH-000734,JHH5,Liver Cancer,Primary
ACH-000316,SNU886,Liver Cancer,
ACH-000393,HLF,Liver Cancer,Primary
ACH-000475,HUH1,Liver Cancer,Primary
ACH-000493,SNU423,Liver Cancer,Primary
ACH-000483,SNU182,Liver Cancer,Primary
ACH-000686,SNU878,Liver Cancer,Primary
ACH-000361,SKHEP1,Liver Cancer,Metastasis
ACH-000420,SNU449,Liver Cancer,Primary
ACH-000217,JHH6,Liver Cancer,Primary
ACH-000221,SNU398,Liver Cancer,Primary
ACH-000671,HUH6,Liver Cancer,
ACH-000577,JHH2,Liver Cancer,Metastasis
ACH-000422,SNU475,Liver Cancer,Primary
