Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000769,LK2,Lung Cancer,Primary
ACH-000292,NCIH841,Lung Cancer,Metastasis
ACH-000586,NCIH1876,Lung Cancer,Metastasis
ACH-000448,NCIH1666,Lung Cancer,Metastasis
ACH-001233,VMRCLCD,Lung Cancer,Primary
ACH-001047,CORL51,Lung Cancer,Metastasis
ACH-000878,HCC15,Lung Cancer,Primary
ACH-000659,SCLC21H,Lung Cancer,Metastasis
ACH-000514,NCIH1092,Lung Cancer,Metastasis
ACH-000752,NCIH196,Lung Cancer,Metastasis
ACH-000852,NCIH1435,Lung Cancer,Primary
ACH-001417,UMC11,Lung Cancer,Primary
ACH-002170,NCIH1688,Lung Cancer,Metastasis
ACH-000845,NCIH1373,Lung Cancer,Primary
ACH-000444,LU99,Lung Cancer,Metastasis
ACH-000064,SALE,Immortalized,
ACH-000559,NCIH1836,Lung Cancer,Primary
ACH-000867,CHAGOK1,Lung Cancer,Metastasis
ACH-001386,SCLC22H,Lung Cancer,Metastasis
ACH-000589,NCIH1437,Lung Cancer,Metastasis
ACH-000176,LOUNH91,Lung Cancer,Primary
ACH-000395,NCIH520,Lung Cancer,Primary
ACH-000594,DMS153,Lung Cancer,Metastasis
ACH-000672,IALM,Lung Cancer,Metastasis
ACH-000508,CORL88,Lung Cancer,Metastasis
ACH-000743,CORL95,Lung Cancer,Primary
ACH-000150,HCC2935,Lung Cancer,Primary
ACH-001088,HLC1,Lung Cancer,Metastasis
ACH-000442,RERFLCSQ1,Lung Cancer,Primary
ACH-000800,NCIH446,Lung Cancer,Metastasis
ACH-000496,NCIH1792,Lung Cancer,Metastasis
ACH-000553,SQ1,Lung Cancer,Primary
ACH-000892,NCIH1563,Lung Cancer,Primary
ACH-000585,EPLC272H,Lung Cancer,Primary
ACH-002051,LU134A,Lung Cancer,Primary
ACH-000670,SBC5,Lung Cancer,Metastasis
ACH-001049,CPCN,Lung Cancer,Metastasis
ACH-000766,NCIH1648,Lung Cancer,Metastasis
ACH-000737,NCIH1385,Lung Cancer,Metastasis
ACH-000367,NCIH226,Lung Cancer,Metastasis
ACH-000790,SHP77,Lung Cancer,Primary
ACH-000840,HCC366,Lung Cancer,Primary
ACH-000378,NCIH647,Lung Cancer,Metastasis
ACH-000667,HCC44,Lung Cancer,Primary
ACH-000789,NCIH810,Lung Cancer,Primary
ACH-000382,CORL24,Lung Cancer,Metastasis
ACH-000698,DMS53,Lung Cancer,Primary
ACH-001364,NCIH345,Lung Cancer,Metastasis
ACH-000675,NCIH1734,Lung Cancer,Primary
ACH-000916,NCIH1573,Lung Cancer,Metastasis
ACH-000841,NCIH2087,Lung Cancer,Metastasis
ACH-000945,NCIH650,Lung Cancer,Metastasis
ACH-002052,LU139,Lung Cancer,Primary
ACH-000757,A427,Lung Cancer,
ACH-000893,NCIH1651,Lung Cancer,Primary
ACH-000894,NCIH1869,Lung Cancer,Metastasis
ACH-000414,NCIH1944,Lung Cancer,Metastasis
ACH-000610,NCIH2227,Lung Cancer,Primary
ACH-000690,HCC2814,Lung Cancer,
ACH-000749,DMS273,Lung Cancer,Metastasis
ACH-000870,NCIH1930,Lung Cancer,Metastasis
ACH-000109,NCIH3255,Lung Cancer,Primary
ACH-000012,HCC827,Lung Cancer,Primary
ACH-000700,NCIH2882,Lung Cancer,
ACH-000861,HOP62,Lung Cancer,Primary
ACH-000314,HCC2108,Lung Cancer,Primary
ACH-000975,HCC2450,Lung Cancer,
ACH-000666,NCIH1355,Lung Cancer,Metastasis
ACH-000929,NCIH2110,Lung Cancer,Metastasis
ACH-000379,NCIH1781,Lung Cancer,Metastasis
ACH-000712,HCC1833,Lung Cancer,Primary
ACH-000563,EBC1,Lung Cancer,Metastasis
ACH-000710,NCIH854,Lung Cancer,Primary
ACH-000506,NCIH146,Lung Cancer,Metastasis
ACH-000665,SKMES1,Lung Cancer,Metastasis
ACH-001140,NCIH820,Lung Cancer,Metastasis
ACH-000868,HCC1195,Lung Cancer,Primary
ACH-000851,MORCPR,Lung Cancer,Primary
ACH-000121,NCIH2405,Lung Cancer,Metastasis
ACH-000706,EKVX,Lung Cancer,Primary
ACH-000695,CORL47,Lung Cancer,Metastasis
ACH-000327,NCIH1395,Lung Cancer,Primary
ACH-001362,NCIH1770,Lung Cancer,Metastasis
ACH-000875,NCIH2347,Lung Cancer,Primary
ACH-000627,LCLC103H,Lung Cancer,Metastasis
ACH-000575,HCC364,Lung Cancer,
ACH-000731,HCC2279,Lung Cancer,Primary
ACH-000888,NCIH1793,Lung Cancer,Primary
ACH-000454,HCC95,Lung Cancer,Metastasis
ACH-000813,T3M10,Lung Cancer,Metastasis
ACH-000843,HARA,Lung Cancer,Metastasis
ACH-000596,LCLC97TM1,Lung Cancer,Primary
ACH-000309,SKLU1,Lung Cancer,Primary
ACH-001113,LC1SQSF,Lung Cancer,Primary
ACH-000628,NCIH596,Lung Cancer,Primary
ACH-000705,LC1F,Lung Cancer,Primary
ACH-002077,LU165,Lung Cancer,Metastasis
ACH-001234,VMRCLCP,Lung Cancer,Primary
ACH-000825,HOP92,Lung Cancer,Primary
ACH-000858,KNS62,Lung Cancer,Metastasis
ACH-000718,NCIH2291,Lung Cancer,Metastasis
ACH-000390,LUDLU1,Lung Cancer,Primary
ACH-000434,NCIH1915,Lung Cancer,Metastasis
ACH-000515,HCC33,Lung Cancer,Metastasis
ACH-000010,NCIH2077,Lung Cancer,
ACH-000523,NCIH1184,Lung Cancer,Metastasis
ACH-000066,HCC4006,Lung Cancer,Metastasis
ACH-000186,NCIH2444,Lung Cancer,Primary
ACH-000872,HCC515,Lung Cancer,
ACH-000791,RERFLCAD1,Lung Cancer,Primary
ACH-000035,NCIH1650,Lung Cancer,Metastasis
ACH-000775,NCIH727,Lung Cancer,Primary
ACH-000662,CORL23,Lung Cancer,Metastasis
ACH-000521,NCIH2030,Lung Cancer,Metastasis
ACH-001136,NCIH187,Lung Cancer,Metastasis
ACH-000781,NCIH2023,Lung Cancer,Metastasis
ACH-000844,DMS454,Lung Cancer,Primary
ACH-000511,CALU1,Lung Cancer,Metastasis
ACH-000447,NCIH2228,Lung Cancer,Primary
ACH-000891,HCC1438,Lung Cancer,Primary
ACH-000787,LXF289,Lung Cancer,Primary
ACH-000901,HCC1359,Lung Cancer,Primary
ACH-000030,PC14,Lung Cancer,Primary
ACH-000179,NCIH1618,Lung Cancer,Metastasis
ACH-000951,NCIH2342,Lung Cancer,Primary
ACH-000924,NCIH2172,Lung Cancer,Primary
ACH-000525,NCIH2171,Lung Cancer,Metastasis
ACH-000463,NCIH460,Lung Cancer,Metastasis
ACH-000830,NCIH1436,Lung Cancer,Metastasis
ACH-000587,NCIH1975,Lung Cancer,Primary
ACH-000785,NCIH2126,Lung Cancer,Metastasis
ACH-000866,NCIH1048,Lung Cancer,Metastasis
ACH-000677,SW1573,Lung Cancer,Primary
ACH-000912,NCIH2286,Lung Cancer,Primary
ACH-000733,NCIH1838,Lung Cancer,Primary
ACH-000860,NCIH358,Lung Cancer,Primary
ACH-000890,SW1271,Lung Cancer,Primary
ACH-000816,NCIH524,Lung Cancer,Metastasis
ACH-000261,RERFLCAI,Lung Cancer,Metastasis
ACH-000744,NCIH1623,Lung Cancer,Metastasis
ACH-000774,RERFLCAD2,Lung Cancer,Primary
ACH-000826,CAL12T,Lung Cancer,Primary
ACH-000358,NCIH69,Lung Cancer,Metastasis
ACH-000297,NCIH889,Lung Cancer,Metastasis
ACH-000886,NCIH2009,Lung Cancer,Metastasis
ACH-000129,NCIH1341,Lung Cancer,Metastasis
ACH-000590,NCIH2073,Lung Cancer,Primary
ACH-000394,NCIH2081,Lung Cancer,Metastasis
ACH-000869,NCIH1568,Lung Cancer,Metastasis
ACH-000021,NCIH1693,Lung Cancer,Metastasis
ACH-000767,NCIH526,Lung Cancer,Metastasis
ACH-000451,NCIH2085,Lung Cancer,Primary
ACH-001075,NCIH292,Lung Cancer,Metastasis
ACH-000062,RERFLCMS,Lung Cancer,Primary
ACH-000528,ABC1,Lung Cancer,Metastasis
ACH-000904,NCIH2106,Lung Cancer,Metastasis
ACH-000925,DV90,Lung Cancer,Metastasis
ACH-000264,CALU6,Lung Cancer,Metastasis
ACH-000727,NCIH2066,Lung Cancer,Primary
ACH-000339,HCC461,Lung Cancer,
ACH-001489,CORL32,Lung Cancer,Metastasis
ACH-000399,NCIH2196,Lung Cancer,Metastasis
ACH-000669,SW900,Lung Cancer,Primary
ACH-000921,NCIH1339,Lung Cancer,Metastasis
ACH-001079,HCC1897,Lung Cancer,
ACH-000900,NCIH23,Lung Cancer,Primary
ACH-001599,NCIH64,Lung Cancer,Metastasis
ACH-000481,NCIH2170,Lung Cancer,Primary
ACH-000143,HCC2429,Lung Cancer,
ACH-000029,HCC827GR5,Lung Cancer,Primary
ACH-000803,COLO668,Lung Cancer,Metastasis
ACH-000980,NCIH1155,Lung Cancer,Metastasis
ACH-000033,NCIH1819,Lung Cancer,Metastasis
ACH-001591,NCIH1417,Lung Cancer,Primary
ACH-000853,NCIH661,Lung Cancer,Metastasis
ACH-000747,NCIH1703,Lung Cancer,Primary
ACH-000015,NCIH1581,Lung Cancer,Primary
ACH-000298,NCIH2029,Lung Cancer,Metastasis
ACH-001137,NCIH1993,Lung Cancer,Metastasis
ACH-000638,NCIH441,Lung Cancer,Metastasis
ACH-000251,NCIH2887,Lung Cancer,
ACH-001071,GLC82,Lung Cancer,Primary
ACH-000639,NCIH211,Lung Cancer,Metastasis
ACH-000779,PC9,Lung Cancer,
ACH-000837,NCIH322,Lung Cancer,Primary
ACH-000530,DMS114,Lung Cancer,Primary
ACH-000780,NCIH1105,Lung Cancer,Metastasis
ACH-000438,LU65,Lung Cancer,Primary
ACH-000282,NCIH1755,Lung Cancer,Metastasis
ACH-000337,NCIH3122,Lung Cancer,
ACH-000703,DMS79,Lung Cancer,Metastasis
ACH-001138,NCIH2141,Lung Cancer,Metastasis
ACH-001958,MS1,Lung Cancer,Metastasis
ACH-001490,CORL321,Lung Cancer,Primary
ACH-000343,NCIH522,Lung Cancer,Primary
ACH-000871,NCIH510,Lung Cancer,Metastasis
ACH-000603,BEN,Lung Cancer,Metastasis
ACH-001365,NCIH847,Lung Cancer,Metastasis
ACH-002175,NCIH740,Lung Cancer,Metastasis
ACH-000355,NCIH82,Lung Cancer,Metastasis
ACH-001549,LU135,Lung Cancer,Primary
ACH-001041,COLO699,Lung Cancer,Metastasis
ACH-000578,HCC1171,Lung Cancer,Primary
ACH-000681,A549,Lung Cancer,Primary
ACH-000311,NCIH2122,Lung Cancer,Metastasis
ACH-001363,NCIH2135,Lung Cancer,Primary
ACH-000257,CORL279,Lung Cancer,Metastasis
ACH-000729,NCIH1963,Lung Cancer,Primary
ACH-000482,RERFLCKJ,Lung Cancer,Primary
ACH-000290,NCIH209,Lung Cancer,Metastasis
ACH-001078,HCC1588,Lung Cancer,Primary
ACH-000416,NCIH838,Lung Cancer,Metastasis
ACH-000187,CORL311,Lung Cancer,Primary
ACH-000510,NCIH1299,Lung Cancer,Metastasis
ACH-000431,NCIH1694,Lung Cancer,Metastasis
ACH-000562,HCC78,Lung Cancer,Metastasis
ACH-000392,CALU3,Lung Cancer,Metastasis
ACH-000161,CORL105,Lung Cancer,Metastasis
