Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000292,NCIH841,Lung Cancer,Metastasis
ACH-000586,NCIH1876,Lung Cancer,Metastasis
ACH-001047,CORL51,Lung Cancer,Metastasis
ACH-000659,SCLC21H,Lung Cancer,Metastasis
ACH-000514,NCIH1092,Lung Cancer,Metastasis
ACH-000752,NCIH196,Lung Cancer,Metastasis
ACH-002170,NCIH1688,Lung Cancer,Metastasis
ACH-000559,NCIH1836,Lung Cancer,Primary
ACH-001386,SCLC22H,Lung Cancer,Metastasis
ACH-000594,DMS153,Lung Cancer,Metastasis
ACH-000508,CORL88,Lung Cancer,Metastasis
ACH-000743,CORL95,Lung Cancer,Primary
ACH-000800,NCIH446,Lung Cancer,Metastasis
ACH-002051,LU134A,Lung Cancer,Primary
ACH-000670,SBC5,Lung Cancer,Metastasis
ACH-001049,CPCN,Lung Cancer,Metastasis
ACH-000790,SHP77,Lung Cancer,Primary
ACH-000382,CORL24,Lung Cancer,Metastasis
ACH-000698,DMS53,Lung Cancer,Primary
ACH-001364,NCIH345,Lung Cancer,Metastasis
ACH-002052,LU139,Lung Cancer,Primary
ACH-000610,NCIH2227,Lung Cancer,Primary
ACH-000749,DMS273,Lung Cancer,Metastasis
ACH-000870,NCIH1930,Lung Cancer,Metastasis
ACH-000506,NCIH146,Lung Cancer,Metastasis
ACH-000695,CORL47,Lung Cancer,Metastasis
ACH-002077,LU165,Lung Cancer,Metastasis
ACH-000515,HCC33,Lung Cancer,Metastasis
ACH-000523,NCIH1184,Lung Cancer,Metastasis
ACH-001136,NCIH187,Lung Cancer,Metastasis
ACH-000844,DMS454,Lung Cancer,Primary
ACH-000179,NCIH1618,Lung Cancer,Metastasis
ACH-000525,NCIH2171,Lung Cancer,Metastasis
ACH-000830,NCIH1436,Lung Cancer,Metastasis
ACH-000866,NCIH1048,Lung Cancer,Metastasis
ACH-000912,NCIH2286,Lung Cancer,Primary
ACH-000890,SW1271,Lung Cancer,Primary
ACH-000816,NCIH524,Lung Cancer,Metastasis
ACH-000358,NCIH69,Lung Cancer,Metastasis
ACH-000297,NCIH889,Lung Cancer,Metastasis
ACH-000129,NCIH1341,Lung Cancer,Metastasis
ACH-000394,NCIH2081,Lung Cancer,Metastasis
ACH-000767,NCIH526,Lung Cancer,Metastasis
ACH-000727,NCIH2066,Lung Cancer,Primary
ACH-000399,NCIH2196,Lung Cancer,Metastasis
ACH-000921,NCIH1339,Lung Cancer,Metastasis
ACH-001599,NCIH64,Lung Cancer,Metastasis
ACH-000803,COLO668,Lung Cancer,Metastasis
ACH-001591,NCIH1417,Lung Cancer,Primary
ACH-000298,NCIH2029,Lung Cancer,Metastasis
ACH-000639,NCIH211,Lung Cancer,Metastasis
ACH-000530,DMS114,Lung Cancer,Primary
ACH-000780,NCIH1105,Lung Cancer,Metastasis
ACH-000703,DMS79,Lung Cancer,Metastasis
ACH-001138,NCIH2141,Lung Cancer,Metastasis
ACH-001958,MS1,Lung Cancer,Metastasis
ACH-000871,NCIH510,Lung Cancer,Metastasis
ACH-001365,NCIH847,Lung Cancer,Metastasis
ACH-002175,NCIH740,Lung Cancer,Metastasis
ACH-000355,NCIH82,Lung Cancer,Metastasis
ACH-001549,LU135,Lung Cancer,Primary
ACH-000257,CORL279,Lung Cancer,Metastasis
ACH-000729,NCIH1963,Lung Cancer,Primary
ACH-000290,NCIH209,Lung Cancer,Metastasis
ACH-000187,CORL311,Lung Cancer,Primary
ACH-000431,NCIH1694,Lung Cancer,Metastasis
