Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-002002,A375SKINCJ2,Skin Cancer,
ACH-000465,SKMEL1,Skin Cancer,Metastasis
ACH-000801,HS936T,Skin Cancer,
ACH-000441,SH4,Skin Cancer,Metastasis
ACH-002003,A375SKINCJ3,Skin Cancer,
ACH-001002,451LU,Skin Cancer,Metastasis
ACH-001567,MM383,Skin Cancer,Metastasis
ACH-001569,MM415,Skin Cancer,Metastasis
ACH-000322,HT144,Skin Cancer,Metastasis
ACH-001024,CHL1,Skin Cancer,Metastasis
ACH-000304,WM115,Skin Cancer,Metastasis
ACH-000650,IGR37,Skin Cancer,Metastasis
ACH-000661,WM1799,Skin Cancer,
ACH-000274,HS852T,Skin Cancer,
ACH-000644,COLO829,Skin Cancer,Primary
ACH-000640,SKMEL31,Skin Cancer,Primary
ACH-000810,SKMEL30,Skin Cancer,Metastasis
ACH-000458,CJM,Skin Cancer,Metastasis
ACH-001570,MM426,Skin Cancer,Metastasis
ACH-000827,WM793,Skin Cancer,
ACH-000579,UACC257,Skin Cancer,Primary
ACH-000968,COLO792,Skin Cancer,Metastasis
ACH-000899,WM88,Skin Cancer,Metastasis
ACH-000931,HMCB,Skin Cancer,Primary
ACH-000881,MELJUSO,Skin Cancer,Primary
ACH-002005,SKMEL19,Skin Cancer,
ACH-000788,A2058,Skin Cancer,Metastasis
ACH-002040,HMVII,Skin Cancer,Primary
ACH-000987,MEWO,Skin Cancer,Metastasis
ACH-000814,HS939T,Skin Cancer,
ACH-000614,RVH421,Skin Cancer,Metastasis
ACH-000805,COLO679,Skin Cancer,Metastasis
ACH-000580,C32,Skin Cancer,Primary
ACH-000632,HS944T,Skin Cancer,Metastasis
ACH-002004,UACC62SKINCJ1,Skin Cancer,
ACH-000750,LOXIMVI,Skin Cancer,Metastasis
ACH-002001,A375SKINCJ1,Skin Cancer,
ACH-000884,MDAMB435S,Skin Cancer,Metastasis
ACH-000765,WM983B,Skin Cancer,Metastasis
ACH-001568,MM386,Skin Cancer,Metastasis
ACH-000572,G361,Skin Cancer,Primary
ACH-000812,COLO783,Skin Cancer,Metastasis
ACH-000219,A375,Skin Cancer,Primary
ACH-001044,COLO818,Skin Cancer,Metastasis
ACH-000401,COLO800,Skin Cancer,Metastasis
ACH-001239,WM2664,Skin Cancer,Metastasis
ACH-000799,HS695T,Skin Cancer,Metastasis
ACH-000822,SKMEL24,Skin Cancer,Metastasis
ACH-001566,MM370,Skin Cancer,Metastasis
ACH-000450,MELHO,Skin Cancer,Primary
ACH-000423,SKMEL3,Skin Cancer,Metastasis
ACH-001563,MM127,Skin Cancer,Metastasis
ACH-001645,SEKI,Skin Cancer,Primary
ACH-000615,SKMEL28,Skin Cancer,
ACH-000582,COLO741,Skin Cancer,Metastasis
ACH-001339,COLO794,Skin Cancer,Primary
ACH-001190,SKMEL2,Skin Cancer,Metastasis
ACH-001704,VMRCMELG,Skin Cancer,Primary
ACH-000882,IGR1,Skin Cancer,Metastasis
ACH-001522,HMY1,Skin Cancer,Metastasis
ACH-000348,RPMI7951,Skin Cancer,Metastasis
ACH-000915,IPC298,Skin Cancer,Primary
ACH-000730,SKMEL5,Skin Cancer,Metastasis
ACH-000404,K029AX,Skin Cancer,Primary
ACH-000014,HS294T,Skin Cancer,Metastasis
ACH-000425,UACC62,Skin Cancer,
ACH-000550,IGR39,Skin Cancer,Primary
ACH-001072,GRM,Skin Cancer,
ACH-000477,MALME3M,Skin Cancer,Metastasis
