Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000796,MCAS,Ovarian Cancer,Primary
ACH-000584,JHOS4,Ovarian Cancer,Primary
ACH-001144,OC315,Ovarian Cancer,
ACH-001374,PA1,Ovarian Cancer,Metastasis
ACH-000713,CAOV3,Ovarian Cancer,Primary
ACH-001063,DOV13,Non-Cancerous,Primary
ACH-000527,OVISE,Ovarian Cancer,Metastasis
ACH-000116,OAW28,Ovarian Cancer,Metastasis
ACH-000704,OAW42,Ovarian Cancer,Metastasis
ACH-000936,EFO27,Ovarian Cancer,Metastasis
ACH-000256,COV318,Ovarian Cancer,Metastasis
ACH-000001,NIHOVCAR3,Ovarian Cancer,Metastasis
ACH-001151,OVCAR5,Ovarian Cancer,Metastasis
ACH-000048,TOV112D,Ovarian Cancer,Primary
ACH-001418,UWB1289,Ovarian Cancer,Primary
ACH-000719,RMGI,Ovarian Cancer,Metastasis
ACH-000278,COV362,Ovarian Cancer,Metastasis
ACH-001042,COLO704,Ovarian Cancer,Metastasis
ACH-000291,OV90,Ovarian Cancer,Metastasis
ACH-000696,OVCAR8,Ovarian Cancer,Primary
ACH-000460,SNU8,Ovarian Cancer,Metastasis
ACH-000635,SNU119,Ovarian Cancer,Metastasis
ACH-000646,OVMANA,Ovarian Cancer,Primary
ACH-000494,OELE,Immortalized,
ACH-000013,ONCODG1,Ovarian Cancer,Metastasis
ACH-000324,JHOC5,Ovarian Cancer,Primary
ACH-000962,OC314,Ovarian Cancer,Metastasis
ACH-000520,59M,Ovarian Cancer,Metastasis
ACH-000663,OVTOKO,Ovarian Cancer,Metastasis
ACH-001340,COV413A,Ovarian Cancer,Metastasis
ACH-000574,FUOV1,Ovarian Cancer,Primary
ACH-000906,ES2,Ovarian Cancer,Primary
ACH-000811,SKOV3,Ovarian Cancer,Metastasis
ACH-001403,TO14,Ovarian Cancer,Metastasis
ACH-000103,CAOV4,Ovarian Cancer,Metastasis
ACH-000657,A2780,Ovarian Cancer,Primary
ACH-000617,OVCAR4,Ovarian Cancer,Metastasis
ACH-001373,OV17R,Ovarian Cancer,Metastasis
ACH-000947,OVK18,Ovarian Cancer,Metastasis
ACH-000308,EFO21,Ovarian Cancer,Metastasis
ACH-000542,HEYA8,Ovarian Cancer,Metastasis
ACH-000280,SNU840,Ovarian Cancer,Primary
ACH-000966,IGROV1,Ovarian Cancer,Primary
ACH-000443,OVKATE,Ovarian Cancer,Primary
ACH-001628,PEA1,Ovarian Cancer,Metastasis
ACH-000409,OVSAHO,Ovarian Cancer,Metastasis
ACH-000688,OV7,Ovarian Cancer,Primary
ACH-000132,JHOS2,Ovarian Cancer,Primary
ACH-000123,COV434,Ovarian Cancer,Primary
ACH-001632,PEO4,Ovarian Cancer,Metastasis
ACH-000524,KURAMOCHI,Ovarian Cancer,Metastasis
ACH-000237,JHOM1,Ovarian Cancer,Primary
ACH-000608,COV644,Ovarian Cancer,Primary
ACH-001630,PEO1,Ovarian Cancer,Metastasis
ACH-000333,JHOM2B,Ovarian Cancer,Primary
ACH-000091,OV56,Ovarian Cancer,Metastasis
ACH-000701,RMUGS,Ovarian Cancer,Primary
ACH-000430,TYKNU,Ovarian Cancer,Primary
ACH-001048,COV504,Ovarian Cancer,Metastasis
ACH-000885,TOV21G,Ovarian Cancer,Primary
ACH-001145,OC316,Ovarian Cancer,Metastasis
ACH-001369,OCIC5X,Ovarian Cancer,Primary
