Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000468,PK45H,Pancreatic Cancer,Primary
ACH-000320,PSN1,Pancreatic Cancer,Primary
ACH-000031,PANC0213,Pancreatic Cancer,Primary
ACH-000213,HUPT4,Pancreatic Cancer,Metastasis
ACH-000517,SNU410,Pancreatic Cancer,Metastasis
ACH-000164,PANC1,Pancreatic Cancer,Primary
ACH-000205,PK59,Pancreatic Cancer,Metastasis
ACH-000243,DANG,Pancreatic Cancer,
ACH-001382,PACADD188,Pancreatic Cancer,Metastasis
ACH-000085,T3M4,Pancreatic Cancer,Primary
ACH-000535,BXPC3,Pancreatic Cancer,Primary
ACH-000023,PATU8988T,Pancreatic Cancer,Metastasis
ACH-000265,KP4,Pancreatic Cancer,Metastasis
ACH-000114,SU8686,Pancreatic Cancer,Metastasis
ACH-000266,SNU213,Pancreatic Cancer,
ACH-001379,PACADD161,Pancreatic Cancer,Metastasis
ACH-000502,TCCPAN2,Pancreatic Cancer,Metastasis
ACH-001108,KP1NL,Pancreatic Cancer,Metastasis
ACH-000281,KP2,Pancreatic Cancer,Primary
ACH-000652,SUIT2,Pancreatic Cancer,Metastasis
ACH-001353,JOPACA1,Pancreatic Cancer,Primary
ACH-000060,PANC1005,Pancreatic Cancer,Primary
ACH-000685,L33,Pancreatic Cancer,Metastasis
ACH-000139,PANC0327,Pancreatic Cancer,Primary
ACH-000332,YAPC,Pancreatic Cancer,Metastasis
ACH-000138,CFPAC1,Pancreatic Cancer,Metastasis
ACH-000347,QGP1,Pancreatic Cancer,Primary
ACH-000599,PATU8902,Pancreatic Cancer,Primary
ACH-001375,PACADD119,Pancreatic Cancer,Primary
ACH-000118,HUPT3,Pancreatic Cancer,Metastasis
ACH-001380,PACADD165,Pancreatic Cancer,Metastasis
ACH-000270,HPAC,Pancreatic Cancer,Primary
ACH-001377,PACADD137,Pancreatic Cancer,Primary
ACH-000178,HS766T,Pancreatic Cancer,Metastasis
ACH-000417,PANC0813,Pancreatic Cancer,Primary
ACH-001376,PACADD135,Pancreatic Cancer,Metastasis
ACH-000222,ASPC1,Pancreatic Cancer,Metastasis
ACH-001098,KCIMOH1,Pancreatic Cancer,
ACH-001101,KLM1,Pancreatic Cancer,Metastasis
ACH-000108,KP3,Pancreatic Cancer,Metastasis
ACH-000601,MIAPACA2,Pancreatic Cancer,Primary
ACH-001378,PACADD159,Pancreatic Cancer,Primary
ACH-000107,CAPAN2,Pancreatic Cancer,Primary
ACH-000042,PANC0203,Pancreatic Cancer,Primary
ACH-000354,CAPAN1,Pancreatic Cancer,Metastasis
ACH-001107,KP1N,Pancreatic Cancer,
ACH-000155,SW1990,Pancreatic Cancer,Primary
ACH-000022,PATU8988S,Pancreatic Cancer,Metastasis
ACH-001999,9505BIK,Pancreatic Cancer,
ACH-001171,PL45,Pancreatic Cancer,
ACH-000093,PANC0504,Pancreatic Cancer,Primary
ACH-000933,SNU324,Pancreatic Cancer,
ACH-000094,HPAFII,Pancreatic Cancer,Metastasis
ACH-000307,PK1,Pancreatic Cancer,Metastasis
ACH-000235,PANC0403,Pancreatic Cancer,Primary
