Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001023,CGTHW1,Thyroid Cancer,Metastasis
ACH-001306,8305C,Thyroid Cancer,Primary
ACH-000456,BCPAP,Thyroid Cancer,Primary
ACH-001443,ASH3,Thyroid Cancer,Primary
ACH-000897,FTC238,Thyroid Cancer,Metastasis
ACH-000191,BHT101,Thyroid Cancer,Metastasis
ACH-000903,FTC133,Thyroid Cancer,Metastasis
ACH-001356,MB1,Thyroid Cancer,Primary
ACH-001350,HTCC3,Thyroid Cancer,Metastasis
ACH-000174,CAL62,Thyroid Cancer,Primary
ACH-001384,RO82W1,Thyroid Cancer,Metastasis
ACH-000058,ML1,Thyroid Cancer,
ACH-001528,IHH4,Thyroid Cancer,Metastasis
ACH-000716,TT2609C02,Thyroid Cancer,
ACH-000037,S117,Sarcoma,
ACH-001321,TT,Thyroid Cancer,Primary
ACH-000163,SW579,Thyroid Cancer,Primary
ACH-001307,8505C,Thyroid Cancer,Primary
