Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-001414,UMUC6,Bladder Cancer,Primary
ACH-000547,HT1197,Bladder Cancer,Primary
ACH-000566,SW1710,Bladder Cancer,Primary
ACH-000545,VMCUB1,Bladder Cancer,Primary
ACH-001183,RT11284,Bladder Cancer,
ACH-001412,UMUC10,Bladder Cancer,Primary
ACH-000973,639V,Bladder Cancer,Primary
ACH-001411,UMUC5,Bladder Cancer,Primary
ACH-000896,647V,Bladder Cancer,Primary
ACH-001416,UMUC9,Bladder Cancer,Primary
ACH-001011,ACCS,Bladder Cancer,
ACH-000720,TCCSUP,Bladder Cancer,Primary
ACH-001409,UMUC16,Bladder Cancer,Primary
ACH-000486,KU1919,Bladder Cancer,
ACH-000026,253JBV,Bladder Cancer,Metastasis
ACH-001408,UMUC14,Bladder Cancer,Metastasis
ACH-000011,253J,Bladder Cancer,Metastasis
ACH-000834,UMUC1,Bladder Cancer,Metastasis
ACH-000905,5637,Bladder Cancer,
ACH-000862,KMBC2,Bladder Cancer,Primary
ACH-000724,HT1376,Bladder Cancer,Primary
ACH-000522,UMUC3,Bladder Cancer,Primary
ACH-000839,SCABER,Bladder Cancer,Primary
ACH-000473,RT112,Bladder Cancer,Primary
ACH-000384,SW780,Bladder Cancer,Primary
ACH-000593,BC3C,Bladder Cancer,Primary
ACH-001410,UMUC4,Bladder Cancer,Metastasis
ACH-000802,BFTC905,Bladder Cancer,Primary
ACH-000396,J82,Bladder Cancer,Primary
ACH-001413,UMUC11,Bladder Cancer,Primary
ACH-000142,CAL29,Bladder Cancer,Primary
ACH-000018,T24,Bladder Cancer,Primary
ACH-001407,UMUC13,Bladder Cancer,Metastasis
ACH-001415,UMUC7,Bladder Cancer,Primary
ACH-000741,UBLC1,Bladder Cancer,Primary
ACH-000753,JMSU1,Bladder Cancer,Metastasis
ACH-000242,RT4,Bladder Cancer,Primary
